y_test1,y_predict_FNN
69.62632499,59.97
49.67969603,58.52
101.8513931,58.53
70.76553239,60.29
85.29292465,60.16
64.83124835,59.82
43.38591414,60.44
76.46942648,60.72
61.52001832,58.37
55.81651022,58.16
54.63770469,58.92
51.54533466,60.16
83.62782363,60.02
101.248253,60.66
55.93232425,59.99
66.77933762,57.32
75.6874006,57.53
74.25154425,57.62
58.51408231,60.94
85.15712737,57.72
73.80957685,60.99
76.98265841,57.71
58.97405294,59.83
85.88352314,59.38
66.24269938,58.91
66.77759954,57.73
40.612909,58.43
61.14111864,59.07
70.05272018,60.64
70.05272018,58.93
47.3887398,59.2
67.26466878,57.2
78.89851507,58.07
72.5664004,59.24
87.05257595,59.42
58.09555464,56.79
78.80137124,56.81
95.55305477,57.14
76.03273945,60.5
78.30688566,59.36
73.22483273,58.56
61.78567898,61.59
61.78567898,59.51
67.64448382,60.43
62.60168472,60.11
40.14270489,59.38
85.35804917,58.01
66.59733601,58.28
32.66707799,60.32
65.33324119,58.8
48.47598212,59.15
55.02240724,61.61
47.93163884,61.66
38.43119971,59.03
76.34799427,59.74
62.9999989,60.17
62.9999989,54.55
64.26578716,58.14
59.19317637,58.15
72.7205726,57.95
69.23844469,57.68
69.23844469,55.76
66.93478171,59.83
98.96538914,60.07
71.11118161,59.2
46.64358918,57.98
41.58660591,57.47
75.2660643,59.03
59.83454075,58.13
66.65419278,59.59
68.94019277,60.04
42.81456956,59.68
58.47380388,61.52
82.35001283,59.15
51.29479156,60.16
67.01990322,59.01
81.5555974,59.3
14.34316145,60.42
60.26917985,58.77
46.50165845,59.5
46.50165845,58.39
53.84179688,59.43
85.15798297,59.64
67.0591185,62.05
79.3165852,58.5
67.5282879,58.99
38.04151583,59.99
62.01638317,60.62
88.72737266,57.91
84.89241759,57.69
82.59015205,59.23
79.00827201,57.45
61.42879055,58.63
67.90681272,58.87
53.2790417,59.81
63.25790714,60.3
60.61875415,56.25
60.19235078,57.68
60.69057995,60.07
82.59522269,59.04
78.97422652,59.57
104.2309492,62.07
80.79598527,58.47
50.14160182,57.83
44.04038217,57.35
71.34213154,59.57
59.35322111,58.39
89.33864946,59.64
53.66182299,58.62
77.232127,59.08
85.69364908,60.62
66.74678059,59.44
47.18556575,59.34
63.23536504,59.2
58.90369803,60.85
47.09550577,58.5
55.39756365,58.97
67.45618011,58.75
67.45618011,57.97
38.84595763,59.14
81.08082626,58.95
54.5742543,56.84
81.26581628,60.77
65.88127084,60.32
70.05983474,60.34
52.0573806,60.26
64.17849389,60.41
64.17849389,60.1
75.04191395,59.43
29.8509482,60.92
90.94494369,59.32
95.04565793,58.68
67.1813408,59.25
70.3680488,59.53
75.40875413,58.92
35.58299178,59.69
57.9626369,59.3
37.35308022,60.28
111.1153097,62.09
71.32137209,59.07
51.49119684,59.98
85.2671816,58.71
77.71289112,54.85
55.71566023,59.62
91.27079223,58.83
68.0739279,59.17
58.87946653,61.54
43.82711868,59.36
61.80180431,59.64
56.19306062,58.81
77.60572649,60.22
55.64236317,59.67
66.22359112,61.85
42.2927665,58.63
49.51517499,62.29
52.47586795,58.05
81.74022452,57.91
94.72812878,61.41
43.62591046,59.97
42.29053495,58.75
52.28110428,59.43
49.38268379,57.87
54.11178496,63.22
0.738,59.37
52.90907058,59.09
62.33797615,58.42
77.12345732,60.16
79.93784588,57.22
52.76504901,59.93
78.19089708,59.69
77.1421038,58.48
47.05015549,58.35
