real_cod,predicted_cod
51.55946462,57.43808365
53.14497859,78.55205536
69.04715948,66.28447723
99.99628571,60.63060379
75.55521877,65.45846558
57.15095807,71.37256622
75.6713294,62.80702209
75.57505559,63.09551239
87.83904965,58.90723801
77.37381255,62.66073227
49.90089917,47.7902298
55.98979616,54.37550354
68.82704725,78.39271545
62.55789982,63.19446945
33.56304028,62.46453094
47.93510493,62.33705902
57.3655411,60.94382477
23.075806,73.2551651
61.79901424,63.05161667
60.45776434,58.56476212
59.99855416,62.34165573
36.33519851,67.17406464
61.36442099,69.85427856
68.38761309,63.05354691
58.83920331,55.65081024
59.65920946,43.7675705
74.40270156,68.39614868
69.50852573,48.07876587
84.93140178,77.31526947
91.06635625,65.0239563
39.49726396,54.99403763
54.08109392,65.4005661
74.99251991,53.83760834
58.21980043,69.28958893
41.75372741,63.24202347
49.58557272,58.09195709
47.64001392,65.65509033
64.39052126,49.51067352
64.39052126,64.31923676
74.43538862,60.37664413
70.20673966,72.25003815
69.59080593,68.6774292
32.92072036,48.9156189
74.51256519,68.90900421
73.21799019,56.19947052
62.6344489,53.58605194
63.41678671,64.09101105
61.57846145,66.50847626
55.61776001,71.9633255
53.31304555,63.08163834
45.64738763,64.54969788
86.12861265,66.54156494
81.15923928,54.55388641
59.18318961,74.28277588
52.0338449,62.72660065
46.86138395,56.11746979
72.34381221,54.36839294
67.84484886,62.26547623
52.24851658,51.22676849
86.69545111,56.75640106
53.15076474,60.14185715
80.69821422,79.99880219
80.69821422,64.64470673
85.34558485,54.82294083
85.34558485,46.67733002
87.13187299,46.42622375
65.39948447,76.00128937
79.85232988,65.47310638
51.55230078,55.18698502
39.9780961,70.33740997
70.2933387,64.41055298
65.63932808,53.07661438
89.91991552,62.71385193
83.76265319,58.63181305
39.80417883,79.80092621
67.00909817,70.00366211
52.28948388,48.55148697
51.62521311,56.75198746
64.62494421,72.45014954
68.60840187,64.39725494
69.26812044,50.24002457
85.68083615,63.68659973
46.1391826,71.38332367
76.12635153,67.25128937
74.98493714,62.88701248
77.52343002,46.61527634
71.15328466,63.15716171
79.697764,57.29555511
61.52068662,63.32249069
58.35485589,48.62118149
63.29358452,63.80299759
63.29358452,55.54967117
70.79303618,70.39595795
70.79303618,67.35124207
87.39912189,50.10097504
51.87695476,65.17519379
51.35305214,41.9585495
68.89062012,72.66133118
45.30653878,62.89755249
67.96334191,73.59526062
68.91033739,65.80150604
82.49259499,49.07906342
52.15778717,68.57328796
77.22700303,48.21638107
62.74338338,43.89231873
57.53065851,79.78052521
84.25426404,65.04357147
52.95002327,51.35586548
103.38021,66.27013397
62.32004847,63.04963684
68.23338555,56.96941376
76.64573393,50.47406769
64.36379306,50.09740448
60.52159304,68.94722748
50.65500083,51.0914917
69.39441775,47.90834045
55.89391551,72.08824921
81.28838221,69.37123108
78.50227064,63.10852051
69.41228382,50.64894485
57.20308922,75.15175629
79.39400835,64.5218277
72.09361001,56.10067749
66.73504403,75.55617523
71.9838514,63.31971741
84.31540019,58.06795502
69.99012794,67.92137146
78.58753831,66.78318024
63.82601002,49.67393112
58.17625506,63.03644562
46.65542923,44.02523422
101.4668252,75.16012573
77.53204198,69.83472443
61.15932665,60.16563797
67.16981627,67.19054413
75.8861599,70.37602234
68.59982979,47.68579865
52.11270716,60.79685211
78.87860429,59.11298752
61.51434191,55.92344666
65.78245304,75.96975708
64.36111583,61.52026367
92.34737526,61.81616211
74.4485589,79.67176819
52.57745109,68.00894928
90.22484434,50.56607056
48.46358838,68.75363159
69.62632499,48.45317841
49.67969603,65.10098267
101.8513931,80.22690582
70.76553239,65.87203217
85.29292465,58.93166733
64.83124835,66.33840179
43.38591414,63.22835159
76.46942648,62.63297653
61.52001832,62.04404449
55.81651022,50.6989212
54.63770469,61.29623413
51.54533466,57.82681274
83.62782363,78.66915894
101.248253,64.67060852
55.93232425,60.28583908
66.77933762,42.91022873
75.6874006,59.01974487
74.25154425,60.91932297
58.51408231,75.48434448
85.15712737,68.08744812
73.80957685,62.61541748
76.98265841,63.05846786
58.97405294,59.91710663
85.88352314,62.26134491
66.24269938,57.13915253
66.77759954,62.12074661
40.612909,55.02532196
61.14111864,51.6445694
70.05272018,70.96329498
70.05272018,63.67152786
47.3887398,62.91187668
67.26466878,67.3962326
78.89851507,69.31541443
72.5664004,59.64797211
87.05257595,66.74580383
58.09555464,62.80945969
78.80137124,63.04532623
95.55305477,65.25404358
76.03273945,70.75183105
78.30688566,58.96746826
73.22483273,64.19681549
61.78567898,55.20884323
61.78567898,63.9239006
67.64448382,75.78350067
62.60168472,65.74220276
40.14270489,58.04576492
85.35804917,56.56819916
66.59733601,61.81661224
32.66707799,49.40163803
65.33324119,64.01854706
48.47598212,75.25902557
55.02240724,68.30531311
47.93163884,61.66837692
38.43119971,56.45233917
76.34799427,58.64691925
62.9999989,67.79924774
62.9999989,71.89294434
64.26578716,63.59437561
59.19317637,49.39278412
72.7205726,58.17893982
69.23844469,80.4790802
69.23844469,65.33591461
66.93478171,41.73343277
98.96538914,53.14636993
71.11118161,78.23493195
46.64358918,64.5351181
41.58660591,38.78461075
75.2660643,73.43525696
59.83454075,70.48885345
66.65419278,54.35529327
68.94019277,58.30550003
42.81456956,40.94260406
58.47380388,66.64855957
82.35001283,62.94214249
51.29479156,67.04695892
67.01990322,68.48577118
81.5555974,49.54269409
14.34316145,64.22083282
60.26917985,71.78958893
46.50165845,68.87284088
46.50165845,57.73800278
53.84179688,51.85473633
85.15798297,59.9228096
67.0591185,61.25536346
79.3165852,44.37480545
67.5282879,78.14444733
38.04151583,63.97673798
62.01638317,57.92197418
88.72737266,58.16159439
84.89241759,44.42263412
82.59015205,53.80295944
79.00827201,64.47442627
61.42879055,54.30219269
67.90681272,75.95068359
53.2790417,68.97206879
63.25790714,51.32966614
60.61875415,65.88427734
60.19235078,61.12290573
60.69057995,42.43336105
82.59522269,63.25864029
78.97422652,74.65586853
